Date : 2025-07-31 17:25:34
Directory : /home/william/Scality/arsenal/lib
Total : 236 files,  35970 codes, 11380 comments, 3651 blanks, all 51001 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| TypeScript         |        153 |     23,521 |      9,152 |      2,533 |     35,206 |
| JavaScript         |         69 |      8,921 |      2,210 |        891 |     12,022 |
| JSON               |          6 |      2,611 |          0 |          5 |      2,616 |
| Markdown           |          7 |        776 |          0 |        221 |        997 |
| JSON with Comments |          1 |        141 |         18 |          1 |        160 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                       | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                   | language           | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| /home/william/Scality/arsenal/lib/Clustering.ts                                            | TypeScript         |        182 |         86 |         13 |        281 |
| /home/william/Scality/arsenal/lib/algos/cache/GapCache.ts                                  | TypeScript         |        141 |        196 |         27 |        364 |
| /home/william/Scality/arsenal/lib/algos/cache/GapSet.ts                                    | TypeScript         |        200 |        144 |         21 |        365 |
| /home/william/Scality/arsenal/lib/algos/cache/LRUCache.js                                  | JavaScript         |         80 |         77 |         11 |        168 |
| /home/william/Scality/arsenal/lib/algos/heap/Heap.ts                                       | TypeScript         |         98 |          0 |         27 |        125 |
| /home/william/Scality/arsenal/lib/algos/list/Extension.js                                  | JavaScript         |         39 |         80 |         11 |        130 |
| /home/william/Scality/arsenal/lib/algos/list/MPU.js                                        | JavaScript         |        136 |         38 |         15 |        189 |
| /home/william/Scality/arsenal/lib/algos/list/basic.js                                      | JavaScript         |         85 |         34 |          9 |        128 |
| /home/william/Scality/arsenal/lib/algos/list/delimiter.ts                                  | TypeScript         |        233 |         85 |         39 |        357 |
| /home/william/Scality/arsenal/lib/algos/list/delimiterCurrent.ts                           | TypeScript         |         79 |         35 |         13 |        127 |
| /home/william/Scality/arsenal/lib/algos/list/delimiterMaster.ts                            | TypeScript         |        424 |        148 |         52 |        624 |
| /home/william/Scality/arsenal/lib/algos/list/delimiterNonCurrent.js                        | JavaScript         |        124 |         58 |         21 |        203 |
| /home/william/Scality/arsenal/lib/algos/list/delimiterOrphanDeleteMarker.js                | JavaScript         |        126 |         62 |         17 |        205 |
| /home/william/Scality/arsenal/lib/algos/list/delimiterVersions.ts                          | TypeScript         |        360 |        129 |         49 |        538 |
| /home/william/Scality/arsenal/lib/algos/list/exportAlgos.js                                | JavaScript         |         12 |          0 |          1 |         13 |
| /home/william/Scality/arsenal/lib/algos/list/skip.js                                       | JavaScript         |         49 |         22 |         15 |         86 |
| /home/william/Scality/arsenal/lib/algos/list/tools.js                                      | JavaScript         |         41 |         24 |          6 |         71 |
| /home/william/Scality/arsenal/lib/algos/set/ArrayUtils.js                                  | JavaScript         |         75 |          3 |         10 |         88 |
| /home/william/Scality/arsenal/lib/algos/set/SortedSet.js                                   | JavaScript         |         43 |          0 |          9 |         52 |
| /home/william/Scality/arsenal/lib/algos/stream/MergeStream.js                              | JavaScript         |         88 |          7 |         12 |        107 |
| /home/william/Scality/arsenal/lib/auth/AuthInfo.ts                                         | TypeScript         |         86 |         13 |         10 |        109 |
| /home/william/Scality/arsenal/lib/auth/Vault.ts                                            | TypeScript         |        346 |        147 |         16 |        509 |
| /home/william/Scality/arsenal/lib/auth/auth.ts                                             | TypeScript         |        202 |         59 |         19 |        280 |
| /home/william/Scality/arsenal/lib/auth/backends/ChainBackend.ts                            | TypeScript         |        208 |         40 |         24 |        272 |
| /home/william/Scality/arsenal/lib/auth/backends/base.ts                                    | TypeScript         |         49 |         56 |         11 |        116 |
| /home/william/Scality/arsenal/lib/auth/backends/in_memory/AuthLoader.ts                    | TypeScript         |        157 |         35 |         13 |        205 |
| /home/william/Scality/arsenal/lib/auth/backends/in_memory/Backend.ts                       | TypeScript         |        194 |         62 |         16 |        272 |
